what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.6.0.r36x201305212028,"org.eclipse.wb.rcp.swing2swt",1395860053115
stopped,bundle,org.eclipse.wb.xwt,1.6.0.r36x201305212050,"org.eclipse.wb.xwt",1395860053115
stopped,bundle,org.eclipse.wb.rcp,1.6.0.r36x201305212028,"org.eclipse.wb.rcp",1395860053115
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui",1395860053115
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1395860053115
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1395860053131
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1395860053162
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1395860053178
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1395860053194
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1395860053194
stopped,bundle,com.google.gdt.eclipse.designer.GWTExt,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.GWTExt",1395860053553
stopped,bundle,com.google.gdt.eclipse.designer.GXT.databinding,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.GXT.databinding",1395860053584
stopped,bundle,com.google.gdt.eclipse.designer.GXT,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.GXT",1395860053584
stopped,bundle,com.google.gdt.eclipse.designer.SmartGWT,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.SmartGWT",1395860053584
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder.wizards,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.UiBinder.wizards",1395860053600
stopped,bundle,com.google.gdt.eclipse.designer.UiBinder,3.1.2.r36x201305212009,"com.google.gdt.eclipse.designer.UiBinder",1395860053600
stopped,bundle,com.google.gdt.eclipse.designer.launch,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.launch",1395860053600
stopped,bundle,com.google.gdt.eclipse.designer.preferences,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.preferences",1395860053600
stopped,bundle,com.google.gdt.eclipse.designer.wizards,3.1.2.r36x201305212016,"com.google.gdt.eclipse.designer.wizards",1395860053600
stopped,bundle,com.google.gdt.eclipse.designer,3.1.2.r36x201305212009,"com.google.gdt.eclipse.designer",1395860053600
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1395860053600
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1395860053615
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1395860053615
